name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Monkey Rush	zoo	coaster	3960000	3311	31	5	2022-05-15T15:12:59.152Z
Zombie Rocket	spooky	coaster	1640000	1921	22	2	2022-05-15T15:12:59.152Z
Irrational Swing	extreme	kids	101000	269	17	3	2022-05-15T15:12:59.152Z
Anchor Whiplash	pirate	coaster	1401000	2466	8	3	2022-05-15T15:12:59.152Z
Black Hole Rotator	space	kids	82000	94	20	3	2022-05-15T15:12:59.152Z
Hippo Force	zoo	coaster	3945000	2670	39	2	2022-05-15T15:12:59.152Z
Screaming Mountain	spooky	coaster	1059000	940	13	2	2022-05-15T15:12:59.152Z
Creepy Thriller	spooky	coaster	602000	1443	21	2	2022-05-15T15:12:59.152Z
Marine Rush	aquarium	coaster	2536000	2529	23	5	2022-05-15T15:12:59.152Z
Creepy Glider	spooky	coaster	3324000	2046	16	5	2022-05-15T15:12:59.152Z
Nightmare Turbulence	spooky	flat	1581000	1541	10	5	2022-05-15T15:12:59.152Z
Rocketeer Omelettes	space	food	58000	65	23	2	2022-05-15T15:12:59.152Z
Hatchery Shaker	aquarium	flat	1557000	937	14	4	2022-05-15T15:12:59.152Z
Moon Souvenirs	space	shop	125000	115	16	4	2022-05-15T15:12:59.152Z
Madness Mountain	extreme	coaster	2277000	2784	9	3	2022-05-15T15:12:59.152Z
Comet Violence	space	flat	781000	831	40	3	2022-05-15T15:12:59.152Z
Safari Ramen	zoo	food	85000	91	32	3	2022-05-15T15:12:59.152Z
Irrational Lightspeed	extreme	coaster	3074000	2404	10	3	2022-05-15T15:12:59.152Z
Coral Mini-coaster	aquarium	coaster	616000	2068	11	4	2022-05-15T15:12:59.152Z
Wetland Mont Blanc	aquarium	food	121000	108	33	2	2022-05-15T15:12:59.152Z
Dolphin Massage	aquarium	shop	93000	93	31	2	2022-05-15T15:12:59.152Z
Asteroid Ramen	space	food	111000	147	27	2	2022-05-15T15:12:59.152Z
Nightmare Balloons	spooky	shop	128000	126	34	2	2022-05-15T15:12:59.152Z
Unreasonable Ramen	extreme	food	143000	76	12	4	2022-05-15T15:12:59.152Z
Harrowing Slide	extreme	kids	109000	358	18	5	2022-05-15T15:12:59.152Z
Asteroid Zipper	space	flat	1707000	1061	24	5	2022-05-15T15:12:59.152Z
Avast Rotator	pirate	kids	138000	279	31	2	2022-05-15T15:12:59.152Z
Submerged Intimidator	aquarium	coaster	662000	1497	33	2	2022-05-15T15:12:59.152Z
Panda Violence	zoo	flat	607000	618	25	2	2022-05-15T15:12:59.152Z
Monkey Toboggan	zoo	flat	505000	1174	37	3	2022-05-15T15:12:59.152Z
Pirate Minecart	pirate	coaster	3547000	1835	6	3	2022-05-15T15:12:59.152Z
Madness Rush	extreme	coaster	2985000	1622	31	3	2022-05-15T15:12:59.152Z
Rocketeer Souvenirs	space	shop	128000	154	37	4	2022-05-15T15:12:59.152Z
Jungle Massage	zoo	shop	72000	50	36	2	2022-05-15T15:12:59.152Z
Aquatic Chaser	aquarium	coaster	1571000	946	36	5	2022-05-15T15:12:59.152Z
Utter Teacups	extreme	kids	111000	439	11	3	2022-05-15T15:12:59.152Z
Irrational Omelettes	extreme	food	70000	53	27	4	2022-05-15T15:12:59.152Z
Black Flag House of Mirrors	pirate	kids	72000	211	39	2	2022-05-15T15:12:59.152Z
Madness Hot Dogs	extreme	food	55000	124	24	2	2022-05-15T15:12:59.152Z
Forest Coaster	zoo	coaster	2172000	2089	14	4	2022-05-15T15:12:59.152Z
Maniac Acupuncture	extreme	shop	36000	110	27	2	2022-05-15T15:12:59.152Z
Asteroid Coaster	space	coaster	3198000	2174	5	2	2022-05-15T15:12:59.152Z
Intense Balloons	extreme	shop	121000	95	11	5	2022-05-15T15:12:59.152Z
Anchor House of Mirrors	pirate	kids	99000	276	23	2	2022-05-15T15:12:59.152Z
Spooky Bumpers	spooky	kids	129000	263	9	2	2022-05-15T15:12:59.152Z
Ultimate Spinner	extreme	flat	1497000	1385	25	4	2022-05-15T15:12:59.152Z
Galleon Shock	pirate	flat	987000	728	5	2	2022-05-15T15:12:59.152Z
Aquatic Speedway	aquarium	kids	121000	442	27	5	2022-05-15T15:12:59.152Z
Black Flag Candy	pirate	shop	116000	107	27	2	2022-05-15T15:12:59.152Z
Orbit Hats	space	shop	89000	116	13	4	2022-05-15T15:12:59.152Z
Ghastly Fried Potatoes	spooky	food	121000	123	10	5	2022-05-15T15:12:59.152Z
Pirate Fusion	pirate	coaster	3460000	2959	33	2	2022-05-15T15:12:59.152Z
Harrowing House of Mirrors	extreme	kids	72000	530	23	4	2022-05-15T15:12:59.152Z
Excessive Drop	extreme	flat	632000	1057	32	4	2022-05-15T15:12:59.152Z
Inordinate Whiplash	extreme	coaster	2927000	1772	8	5	2022-05-15T15:12:59.152Z
Inordinate Mountain	extreme	coaster	3054000	2210	14	5	2022-05-15T15:12:59.152Z
Algae Turbulence	aquarium	flat	533000	408	32	4	2022-05-15T15:12:59.152Z
Satellite Lightspeed	space	coaster	2486000	1913	27	5	2022-05-15T15:12:59.152Z
Plank Rotator	pirate	kids	149000	336	11	3	2022-05-15T15:12:59.152Z
Astronaut Pets	space	shop	67000	123	11	3	2022-05-15T15:12:59.152Z
Satellite Nauseator	space	flat	1410000	912	28	3	2022-05-15T15:12:59.152Z
Nautical Zipper	pirate	flat	1413000	1319	25	2	2022-05-15T15:12:59.152Z
Hatchery Pizza	aquarium	food	115000	131	27	3	2022-05-15T15:12:59.152Z
Skeleton Hats	spooky	shop	51000	105	35	3	2022-05-15T15:12:59.152Z
Solstace Maritozzo	space	food	71000	79	17	2	2022-05-15T15:12:59.152Z
Zombie Mini-coaster	spooky	coaster	2647000	2561	10	3	2022-05-15T15:12:59.152Z
Saltwater Dodgems	aquarium	kids	106000	475	17	2	2022-05-15T15:12:59.152Z
Maniac Triple Flip	extreme	flat	1229000	959	11	3	2022-05-15T15:12:59.152Z
Carnivore Violence	zoo	flat	546000	1150	26	4	2022-05-15T15:12:59.152Z
Black Flag Slide	pirate	kids	86000	389	19	3	2022-05-15T15:12:59.152Z
Plank Zipper	pirate	flat	1270000	1493	28	2	2022-05-15T15:12:59.152Z
Galleon Shaker	pirate	flat	1672000	1776	39	2	2022-05-15T15:12:59.152Z
Black Flag Portraits	pirate	shop	34000	36	37	4	2022-05-15T15:12:59.152Z
Wildlife Zipper	zoo	flat	964000	1061	39	5	2022-05-15T15:12:59.152Z
Comet Hats	space	shop	108000	105	13	4	2022-05-15T15:12:59.152Z
Solstace Ramen	space	food	112000	65	30	3	2022-05-15T15:12:59.152Z
Hyper Balloons	extreme	shop	67000	81	20	3	2022-05-15T15:12:59.152Z
Submerged Whiplash	aquarium	coaster	3040000	1584	34	2	2022-05-15T15:12:59.152Z
Reptile Turbulence	zoo	flat	1816000	1166	11	3	2022-05-15T15:12:59.152Z
Planetfall Rotator	space	kids	122000	339	34	2	2022-05-15T15:12:59.152Z
Scary Train	spooky	kids	103000	57	23	3	2022-05-15T15:12:59.152Z
Nightmare Pins	spooky	shop	56000	59	36	2	2022-05-15T15:12:59.152Z
Marine Maritozzo	aquarium	food	112000	86	11	3	2022-05-15T15:12:59.152Z
Eclipse Stomach-turner	space	flat	1445000	1613	12	2	2022-05-15T15:12:59.152Z
Sailor Force	pirate	coaster	3756000	3627	34	4	2022-05-15T15:12:59.152Z
Untamed Umbrellas	zoo	shop	69000	124	18	2	2022-05-15T15:12:59.152Z
Monkey Dodgems	zoo	kids	66000	358	5	5	2022-05-15T15:12:59.152Z
Jellyfish Sushi	aquarium	food	113000	63	38	2	2022-05-15T15:12:59.152Z
Safari Acupuncture	zoo	shop	85000	58	29	5	2022-05-15T15:12:59.152Z
Satellite Pizza	space	food	104000	111	40	5	2022-05-15T15:12:59.152Z
Algae Pins	aquarium	shop	128000	117	34	4	2022-05-15T15:12:59.152Z
Black Flag Teacups	pirate	kids	76000	403	14	2	2022-05-15T15:12:59.152Z
Capybara Hot Dogs	zoo	food	65000	41	9	3	2022-05-15T15:12:59.152Z
Severe Ramen	extreme	food	87000	44	16	3	2022-05-15T15:12:59.152Z
Jellyfish Minecart	aquarium	coaster	3433000	3369	38	4	2022-05-15T15:12:59.152Z
Ultimate Hats	extreme	shop	31000	83	36	4	2022-05-15T15:12:59.152Z
Moon Dodgems	space	kids	73000	343	17	4	2022-05-15T15:12:59.152Z
Waterlogged Zipper	aquarium	flat	788000	445	33	4	2022-05-15T15:12:59.152Z
Marine Rotator	aquarium	kids	146000	490	29	4	2022-05-15T15:12:59.152Z
Shooting Star Nauseator	space	flat	918000	841	14	4	2022-05-15T15:12:59.152Z
Scary Massage	spooky	shop	100000	138	19	4	2022-05-15T15:12:59.152Z
Jellyfish Slingshot	aquarium	flat	1111000	1169	11	4	2022-05-15T15:12:59.152Z
Starfish Fury	aquarium	flat	813000	779	23	5	2022-05-15T15:12:59.152Z
Nautical Steak	pirate	food	68000	102	13	2	2022-05-15T15:12:59.152Z
Severe Swing	extreme	kids	94000	211	14	3	2022-05-15T15:12:59.152Z
Cosmonaut Slide	space	kids	132000	269	11	2	2022-05-15T15:12:59.152Z
Gravity Train	space	kids	88000	322	6	4	2022-05-15T15:12:59.152Z
Ghoulish Udon	spooky	food	62000	50	9	3	2022-05-15T15:12:59.152Z
Waterlogged Balloons	aquarium	shop	115000	102	19	3	2022-05-15T15:12:59.152Z
Eclipse Massage	space	shop	127000	85	30	4	2022-05-15T15:12:59.152Z
Saltwater Pizza	aquarium	food	85000	95	31	2	2022-05-15T15:12:59.152Z
Radical Whiplash	extreme	coaster	1136000	2399	21	2	2022-05-15T15:12:59.152Z
Scary Curry	spooky	food	115000	78	9	2	2022-05-15T15:12:59.152Z
Spooky Omelettes	spooky	food	99000	110	27	5	2022-05-15T15:12:59.152Z
Wetland Intimidator	aquarium	coaster	1602000	2419	23	3	2022-05-15T15:12:59.152Z
Hyper Goliath	extreme	coaster	2563000	1487	19	4	2022-05-15T15:12:59.152Z
Jellyfish Crepes	aquarium	food	110000	147	35	5	2022-05-15T15:12:59.152Z
Wetland Shaker	aquarium	flat	1792000	1149	9	5	2022-05-15T15:12:59.152Z
Arrrr Violence	pirate	flat	745000	1139	18	5	2022-05-15T15:12:59.152Z
Mutiny Hats	pirate	shop	68000	130	39	2	2022-05-15T15:12:59.152Z
Ultimate Mont Blanc	extreme	food	110000	122	26	5	2022-05-15T15:12:59.152Z
Hippo Vengeance	zoo	coaster	1964000	2693	9	3	2022-05-15T15:12:59.152Z
Submerged Stomach-turner	aquarium	flat	1117000	1437	23	5	2022-05-15T15:12:59.152Z
Grave Crepes	spooky	food	134000	104	13	5	2022-05-15T15:12:59.152Z
Cosmonaut Gyoza	space	food	57000	71	40	2	2022-05-15T15:12:59.152Z
Hatchery Fusion	aquarium	coaster	3257000	3111	12	5	2022-05-15T15:12:59.152Z
Solstace Nauseator	space	flat	658000	1051	17	5	2022-05-15T15:12:59.152Z
Black Flag Minecart	pirate	coaster	636000	1217	5	2	2022-05-15T15:12:59.152Z
Mutiny Fried Chicken	pirate	food	108000	79	38	3	2022-05-15T15:12:59.152Z
Wetland Udon	aquarium	food	109000	120	28	4	2022-05-15T15:12:59.152Z
Spooky Dodgems	spooky	kids	125000	75	31	5	2022-05-15T15:12:59.152Z
Cemetery Bumpers	spooky	kids	144000	441	37	4	2022-05-15T15:12:59.152Z
Excessive Rotator	extreme	kids	124000	353	9	2	2022-05-15T15:12:59.152Z
Solstace Hot Dogs	space	food	66000	89	15	3	2022-05-15T15:12:59.152Z
Planetfall Chocolates	space	shop	33000	109	18	3	2022-05-15T15:12:59.152Z
Forest Rush	zoo	coaster	3366000	3681	33	5	2022-05-15T15:12:59.152Z
Screaming Crepes	spooky	food	65000	119	38	5	2022-05-15T15:12:59.152Z
Forest Hamburgers	zoo	food	144000	125	18	5	2022-05-15T15:12:59.152Z
Astronaut Candy	space	shop	106000	63	40	2	2022-05-15T15:12:59.152Z
Nautical Violence	pirate	flat	1474000	1224	26	4	2022-05-15T15:12:59.152Z
Inordinate Slingshot	extreme	flat	1491000	1487	29	4	2022-05-15T15:12:59.152Z
Black Flag Sushi	pirate	food	87000	48	17	5	2022-05-15T15:12:59.152Z
Aquatic Windjammer	aquarium	kids	137000	172	10	3	2022-05-15T15:12:59.152Z
Comet -Go-Round	space	kids	83000	160	35	5	2022-05-15T15:12:59.152Z
Plank Train	pirate	kids	94000	195	18	2	2022-05-15T15:12:59.152Z
Comet Shaker	space	flat	807000	495	33	4	2022-05-15T15:12:59.152Z
Starfish Cars	aquarium	kids	64000	204	5	3	2022-05-15T15:12:59.152Z
Arrrr Bungie	pirate	flat	1353000	1245	19	5	2022-05-15T15:12:59.152Z
Hatchery Triple Flip	aquarium	flat	1549000	1762	23	2	2022-05-15T15:12:59.152Z
Gangplank -Go-Round	pirate	kids	88000	85	23	5	2022-05-15T15:12:59.152Z
Ultimate Whirlwind	extreme	flat	1150000	603	29	4	2022-05-15T15:12:59.152Z
Comet Flight	space	kids	139000	172	36	3	2022-05-15T15:12:59.152Z
Marine Acupuncture	aquarium	shop	110000	140	30	5	2022-05-15T15:12:59.152Z
Astronaut Whirlwind	space	flat	1018000	1019	33	5	2022-05-15T15:12:59.152Z
Astronaut Balloons	space	shop	31000	104	16	2	2022-05-15T15:12:59.152Z
Intense Hot Dogs	extreme	food	85000	54	28	4	2022-05-15T15:12:59.152Z
Extreme Zipper	extreme	flat	947000	744	11	4	2022-05-15T15:12:59.152Z
Coral Chocolates	aquarium	shop	125000	130	18	5	2022-05-15T15:12:59.152Z
Submerged Slingshot	aquarium	flat	836000	973	13	2	2022-05-15T15:12:59.152Z
Hippo Whiplash	zoo	coaster	1471000	2123	35	3	2022-05-15T15:12:59.152Z
Anchor Hot Dogs	pirate	food	123000	134	36	2	2022-05-15T15:12:59.152Z
Spooky Fury	spooky	flat	815000	992	26	4	2022-05-15T15:12:59.152Z
Gangplank Fried Potatoes	pirate	food	128000	71	33	3	2022-05-15T15:12:59.152Z
Ultimate Hamburgers	extreme	food	134000	93	23	5	2022-05-15T15:12:59.152Z
Woodland Nauseator	zoo	flat	1768000	1580	9	2	2022-05-15T15:12:59.152Z
Pachyderm Drop	zoo	flat	1835000	1599	23	2	2022-05-15T15:12:59.152Z
Gravity Fried Potatoes	space	food	148000	124	17	4	2022-05-15T15:12:59.152Z
Gravity Zipper	space	flat	1562000	1175	39	2	2022-05-15T15:12:59.152Z
Forest Plunge	zoo	coaster	3138000	2904	17	3	2022-05-15T15:12:59.152Z
Unreasonable Train	extreme	kids	147000	329	11	2	2022-05-15T15:12:59.152Z
Marine Fusion	aquarium	coaster	3891000	3923	12	5	2022-05-15T15:12:59.152Z
Wetland Spinner	aquarium	flat	691000	422	21	3	2022-05-15T15:12:59.152Z
Aquatic Slide	aquarium	kids	97000	189	35	5	2022-05-15T15:12:59.152Z
Waterlogged Spinner	aquarium	flat	1497000	1391	39	5	2022-05-15T15:12:59.152Z
Satellite Candy	space	shop	80000	87	6	3	2022-05-15T15:12:59.152Z
Black Hole Train	space	kids	104000	394	22	2	2022-05-15T15:12:59.152Z
Spooky Vengeance	spooky	coaster	2801000	2540	25	3	2022-05-15T15:12:59.152Z
Carnivore Bungie	zoo	flat	1268000	1235	23	4	2022-05-15T15:12:59.152Z
Treasure Bumpers	pirate	kids	91000	268	35	2	2022-05-15T15:12:59.152Z
Reptile Massage	zoo	shop	120000	107	35	3	2022-05-15T15:12:59.152Z
Cosmonaut Flight	space	kids	107000	210	28	2	2022-05-15T15:12:59.152Z
Starfish Pizza	aquarium	food	133000	149	18	5	2022-05-15T15:12:59.152Z
Nautical Pins	pirate	shop	85000	81	18	2	2022-05-15T15:12:59.152Z
Antarctic Triple Flip	zoo	flat	737000	1253	32	5	2022-05-15T15:12:59.152Z
Phantasmic Hats	spooky	shop	41000	84	38	4	2022-05-15T15:12:59.152Z
Nautical Mont Blanc	pirate	food	128000	80	38	3	2022-05-15T15:12:59.152Z
Wetland Fried Potatoes	aquarium	food	93000	87	16	3	2022-05-15T15:12:59.152Z
Aquatic Shaker	aquarium	flat	1760000	1525	21	3	2022-05-15T15:12:59.152Z
Intense Acupuncture	extreme	shop	35000	98	13	2	2022-05-15T15:12:59.152Z
Pachyderm Slide	zoo	kids	73000	296	34	4	2022-05-15T15:12:59.152Z
Orbit Whirlwind	space	flat	1078000	1318	27	2	2022-05-15T15:12:59.152Z
Jellyfish Fried Potatoes	aquarium	food	106000	100	12	2	2022-05-15T15:12:59.152Z
Rocketeer Walkabout	space	kids	119000	457	14	3	2022-05-15T15:12:59.152Z
Waterlogged Steak	aquarium	food	150000	165	6	2	2022-05-15T15:12:59.152Z
Submerged Force	aquarium	coaster	867000	753	22	4	2022-05-15T15:12:59.152Z
Pirate Portraits	pirate	shop	64000	48	24	3	2022-05-15T15:12:59.152Z
Ultimate Train	extreme	kids	144000	106	13	2	2022-05-15T15:12:59.152Z
Asteroid Bumpers	space	kids	76000	312	25	4	2022-05-15T15:12:59.152Z
Elephant Portraits	zoo	shop	62000	66	38	3	2022-05-15T15:12:59.152Z
Wetland Omelettes	aquarium	food	116000	62	40	3	2022-05-15T15:12:59.152Z
Waterlogged Umbrellas	aquarium	shop	48000	109	27	2	2022-05-15T15:12:59.152Z
Aquatic Gyoza	aquarium	food	97000	79	8	2	2022-05-15T15:12:59.152Z
Incorporeal House of Mirrors	spooky	kids	147000	123	20	2	2022-05-15T15:12:59.152Z
Untamed Teacups	zoo	kids	69000	108	10	3	2022-05-15T15:12:59.152Z
Jellyfish Bungie	aquarium	flat	1987000	1115	26	2	2022-05-15T15:12:59.152Z
Safari Hats	zoo	shop	57000	59	9	2	2022-05-15T15:12:59.152Z
Starfish Rocket	aquarium	coaster	1413000	2084	32	3	2022-05-15T15:12:59.152Z
Gangplank Rotator	pirate	kids	89000	221	17	5	2022-05-15T15:12:59.152Z
Eclipse Boat	space	kids	93000	423	30	3	2022-05-15T15:12:59.152Z
Ghoulish Fury	spooky	flat	1877000	1881	14	4	2022-05-15T15:12:59.152Z
Elephant Massage	zoo	shop	31000	93	6	4	2022-05-15T15:12:59.152Z
Comet Mini-coaster	space	coaster	1099000	2056	18	4	2022-05-15T15:12:59.152Z
Reptile Rocket	zoo	coaster	1871000	1904	40	3	2022-05-15T15:12:59.152Z
Maniac Whirlwind	extreme	flat	594000	1143	30	4	2022-05-15T15:12:59.152Z
Woodland Flight	zoo	kids	68000	116	18	5	2022-05-15T15:12:59.152Z
Safari Maritozzo	zoo	food	51000	38	37	4	2022-05-15T15:12:59.152Z
Scary Pizza	spooky	food	115000	60	15	4	2022-05-15T15:12:59.152Z
Incorporeal Ramen	spooky	food	53000	31	8	5	2022-05-15T15:12:59.152Z
Rocketeer Hot Dogs	space	food	116000	84	34	3	2022-05-15T15:12:59.152Z
Ghoulish Ramen	spooky	food	122000	114	5	2	2022-05-15T15:12:59.152Z
Void Thriller	space	coaster	1368000	2617	12	3	2022-05-15T15:12:59.152Z
Avast -Go-Round	pirate	kids	100000	227	7	4	2022-05-15T15:12:59.152Z
Aquatic Bumpers	aquarium	kids	147000	340	5	4	2022-05-15T15:12:59.152Z
Rocketeer Maritozzo	space	food	129000	77	30	2	2022-05-15T15:12:59.152Z
Pachyderm Violence	zoo	flat	1809000	1237	11	5	2022-05-15T15:12:59.152Z
Eclipse Thriller	space	coaster	1011000	2094	20	3	2022-05-15T15:12:59.152Z
Madness Slide	extreme	kids	105000	286	13	3	2022-05-15T15:12:59.152Z
Dark Traveler	spooky	coaster	3395000	3201	20	3	2022-05-15T15:12:59.152Z
Madness Fried Potatoes	extreme	food	90000	121	22	4	2022-05-15T15:12:59.152Z
Skull and Bones Crepes	pirate	food	145000	93	29	3	2022-05-15T15:12:59.152Z
Utter Hats	extreme	shop	128000	143	32	2	2022-05-15T15:12:59.152Z
Phantasmic -Go-Round	spooky	kids	96000	96	14	5	2022-05-15T15:12:59.152Z
Creepy Chocolates	spooky	shop	89000	55	35	5	2022-05-15T15:12:59.152Z
Cemetery Slide	spooky	kids	62000	86	27	5	2022-05-15T15:12:59.152Z
Extreme Gyoza	extreme	food	84000	121	16	2	2022-05-15T15:12:59.152Z
Extreme Fried Potatoes	extreme	food	100000	101	23	5	2022-05-15T15:12:59.152Z
Orbit Spinner	space	flat	1353000	1405	14	2	2022-05-15T15:12:59.152Z
Jellyfish Plunge	aquarium	coaster	3575000	2974	32	3	2022-05-15T15:12:59.152Z
Creepy Cars	spooky	kids	60000	358	32	4	2022-05-15T15:12:59.152Z
Planetfall Flight	space	kids	128000	199	20	4	2022-05-15T15:12:59.152Z
Utter Train	extreme	kids	98000	444	22	2	2022-05-15T15:12:59.152Z
Grave Rotator	spooky	kids	71000	516	13	2	2022-05-15T15:12:59.152Z
Jungle Pets	zoo	shop	94000	95	7	5	2022-05-15T15:12:59.152Z
Jungle Cars	zoo	kids	73000	442	35	2	2022-05-15T15:12:59.152Z
Maniac Teacups	extreme	kids	126000	141	37	3	2022-05-15T15:12:59.152Z
Treasure -Go-Round	pirate	kids	128000	134	6	5	2022-05-15T15:12:59.152Z
Grave Thriller	spooky	coaster	3362000	3142	37	3	2022-05-15T15:12:59.152Z
Safari Sushi	zoo	food	136000	168	32	3	2022-05-15T15:12:59.152Z
Sailor Hot Dogs	pirate	food	93000	146	15	4	2022-05-15T15:12:59.152Z
Astronaut Slingshot	space	flat	744000	1295	6	2	2022-05-15T15:12:59.152Z
Incorporeal Bungie	spooky	flat	509000	871	14	3	2022-05-15T15:12:59.152Z
Utter Crepes	extreme	food	105000	77	18	5	2022-05-15T15:12:59.152Z
Carnivore Balloons	zoo	shop	44000	42	39	4	2022-05-15T15:12:59.152Z
Phantasmic Glider	spooky	coaster	1820000	1412	27	4	2022-05-15T15:12:59.152Z
Nautical Screamer	pirate	coaster	2673000	3276	28	2	2022-05-15T15:12:59.152Z
Irrational Pins	extreme	shop	118000	104	33	2	2022-05-15T15:12:59.152Z
Hatchery Hot Dogs	aquarium	food	116000	158	28	2	2022-05-15T15:12:59.152Z
Algae Ramen	aquarium	food	62000	100	39	4	2022-05-15T15:12:59.152Z
Unreasonable Fried Potatoes	extreme	food	118000	73	29	4	2022-05-15T15:12:59.152Z
Planetfall Glider	space	coaster	827000	1541	33	4	2022-05-15T15:12:59.152Z
Algae Stationery	aquarium	shop	32000	86	27	2	2022-05-15T15:12:59.152Z
Algae Nauseator	aquarium	flat	677000	663	15	5	2022-05-15T15:12:59.152Z
Treasure Umbrellas	pirate	shop	51000	46	39	2	2022-05-15T15:12:59.152Z
Monkey Windjammer	zoo	kids	101000	481	17	3	2022-05-15T15:12:59.152Z
Haunted Balloons	spooky	shop	103000	63	20	4	2022-05-15T15:12:59.152Z
Unreasonable Spinner	extreme	flat	1996000	1717	10	5	2022-05-15T15:12:59.152Z
Severe Balloons	extreme	shop	34000	47	18	2	2022-05-15T15:12:59.152Z
Harrowing Hot Dogs	extreme	food	99000	116	37	4	2022-05-15T15:12:59.152Z
Plank Violence	pirate	flat	1923000	1392	32	4	2022-05-15T15:12:59.152Z
Aquatic Teacups	aquarium	kids	96000	437	24	2	2022-05-15T15:12:59.152Z
Hyper Mini-coaster	extreme	coaster	652000	2073	13	5	2022-05-15T15:12:59.152Z
Intense Shaker	extreme	flat	863000	768	26	2	2022-05-15T15:12:59.152Z
Galleon Hats	pirate	shop	92000	140	20	5	2022-05-15T15:12:59.152Z
Wetland Nauseator	aquarium	flat	1777000	1130	27	5	2022-05-15T15:12:59.152Z
Creepy Mountain	spooky	coaster	1469000	2580	32	2	2022-05-15T15:12:59.152Z
Coral Violence	aquarium	flat	1474000	816	21	2	2022-05-15T15:12:59.152Z
Marine Souvenirs	aquarium	shop	118000	70	20	4	2022-05-15T15:12:59.152Z
Safari Rocket	zoo	coaster	1167000	755	35	4	2022-05-15T15:12:59.152Z
Safari Steak	zoo	food	140000	151	39	2	2022-05-15T15:12:59.152Z
Grave Lightspeed	spooky	coaster	2985000	2320	11	3	2022-05-15T15:12:59.152Z
Utter Fusion	extreme	coaster	630000	1181	18	3	2022-05-15T15:12:59.152Z
Arrrr Speedway	pirate	kids	95000	194	33	4	2022-05-15T15:12:59.152Z
Madness Hats	extreme	shop	118000	149	21	2	2022-05-15T15:12:59.152Z
Spooky Stationery	spooky	shop	46000	116	14	2	2022-05-15T15:12:59.152Z
Jellyfish Mini-coaster	aquarium	coaster	3483000	2586	23	4	2022-05-15T15:12:59.152Z
Mutiny Pets	pirate	shop	72000	89	12	2	2022-05-15T15:12:59.152Z
Severe Maritozzo	extreme	food	98000	95	37	5	2022-05-15T15:12:59.152Z
Panda Acupuncture	zoo	shop	121000	80	34	5	2022-05-15T15:12:59.152Z
Gravity Plunge	space	coaster	3910000	3554	25	3	2022-05-15T15:12:59.152Z
Extreme Whirlwind	extreme	flat	1527000	1565	19	4	2022-05-15T15:12:59.152Z
Severe Flight	extreme	kids	64000	372	23	2	2022-05-15T15:12:59.152Z
Ghastly House of Mirrors	spooky	kids	88000	529	30	5	2022-05-15T15:12:59.152Z
Reptile Pizza	zoo	food	110000	75	31	3	2022-05-15T15:12:59.152Z
Elephant Turbulence	zoo	flat	884000	666	38	4	2022-05-15T15:12:59.152Z
Exosphere Chaser	space	coaster	3533000	1913	15	4	2022-05-15T15:12:59.152Z
Solstace Fried Potatoes	space	food	144000	75	15	4	2022-05-15T15:12:59.152Z
Void Spinner	space	flat	981000	1003	23	2	2022-05-15T15:12:59.152Z
Excessive Udon	extreme	food	99000	111	7	3	2022-05-15T15:12:59.152Z
Capybara Vengeance	zoo	coaster	3514000	1800	18	4	2022-05-15T15:12:59.152Z
Cemetery Fried Chicken	spooky	food	65000	55	34	2	2022-05-15T15:12:59.152Z
Hatchery Speedway	aquarium	kids	96000	494	27	3	2022-05-15T15:12:59.152Z
Cemetery -Go-Round	spooky	kids	100000	121	23	4	2022-05-15T15:12:59.152Z
Antarctic Teacups	zoo	kids	141000	387	33	2	2022-05-15T15:12:59.152Z
Wetland Pizza	aquarium	food	90000	60	16	4	2022-05-15T15:12:59.152Z
Mutiny Candy	pirate	shop	115000	120	35	2	2022-05-15T15:12:59.152Z
Sailor Toboggan	pirate	flat	979000	874	12	2	2022-05-15T15:12:59.152Z
Marine Stationery	aquarium	shop	72000	55	18	2	2022-05-15T15:12:59.152Z
Spooky Souvenirs	spooky	shop	117000	91	25	3	2022-05-15T15:12:59.152Z
Panda Curry	zoo	food	62000	114	7	3	2022-05-15T15:12:59.152Z
Utter -Go-Round	extreme	kids	91000	193	12	5	2022-05-15T15:12:59.152Z
Anchor Pins	pirate	shop	60000	113	27	5	2022-05-15T15:12:59.152Z
Nightmare Hot Dogs	spooky	food	97000	102	40	3	2022-05-15T15:12:59.152Z
Radical Toboggan	extreme	flat	1613000	877	24	5	2022-05-15T15:12:59.152Z
Galleon Lightspeed	pirate	coaster	723000	1206	21	4	2022-05-15T15:12:59.152Z
Severe Fried Potatoes	extreme	food	55000	55	12	2	2022-05-15T15:12:59.152Z
Black Flag Ramen	pirate	food	141000	97	23	3	2022-05-15T15:12:59.152Z
Pachyderm Minecart	zoo	coaster	3047000	2412	5	3	2022-05-15T15:12:59.152Z
Cemetery Souvenirs	spooky	shop	48000	115	9	2	2022-05-15T15:12:59.152Z
Excessive Nauseator	extreme	flat	1461000	1107	18	5	2022-05-15T15:12:59.152Z
Anchor Coaster	pirate	coaster	1473000	2510	17	5	2022-05-15T15:12:59.152Z
Monkey Pets	zoo	shop	70000	39	29	2	2022-05-15T15:12:59.152Z
Gangplank Slingshot	pirate	flat	1716000	1239	28	5	2022-05-15T15:12:59.152Z
Algae Hats	aquarium	shop	63000	67	38	4	2022-05-15T15:12:59.152Z
